,price,Address,area,Bedrooms
1679,11800000.0,Other,2025.0,3.0
1680,5200000.0,Other,1000.0,2.0
1681,11000000.0,Other,1600.0,4.0
1682,6000000.0,Other,1305.0,2.0
1683,5200000.0,Other,1035.0,2.0
1684,5500000.0,Other,1090.0,2.0
1685,9500000.0,Other,1551.0,4.0
1686,6000000.0,Other,900.0,3.0
1688,5200000.0,Other,1130.0,2.0
1689,2800000.0,Other,675.0,2.0
1692,11000000.0,Other,1750.0,3.0
1693,5500000.0,Other,920.0,2.0
1694,9410000.0,Other,1600.0,3.0
1696,6800000.0,Other,900.0,3.0
1698,2800000.0,Other,750.0,2.0
1699,3690000.0,Other,1085.0,2.0
1701,10300000.0,Other,1600.0,3.0
1702,4500000.0,Other,1025.0,2.0
1703,3800000.0,Other,1040.0,2.0
1704,5200000.0,Other,1200.0,2.0
1705,3700000.0,Other,900.0,2.0
1706,3900000.0,Other,822.0,2.0
1707,6800000.0,Other,990.0,3.0
1708,4100000.0,Other,750.0,2.0
1709,9000000.0,Other,1650.0,3.0
1710,37500000.0,Other,5000.0,8.0
1711,7700000.0,Other,1350.0,2.0
1713,6500000.0,Other,1300.0,2.0
1714,4500000.0,Other,850.0,2.0
1715,8740000.0,Other,1245.0,2.0
1717,5300000.0,Other,965.0,2.0
1718,4800000.0,Other,645.0,2.0
1719,5800000.0,Other,980.0,3.0
1721,3500000.0,Other,800.0,2.0
1722,11500000.0,Other,1545.0,3.0
1723,8500000.0,Other,1500.0,3.0
1724,3780000.0,Other,955.0,2.0
1725,6820000.0,Other,1170.0,3.0
1726,6000000.0,Other,940.0,2.0
1727,13000000.0,Other,1728.0,3.0
1728,13500000.0,Other,1950.0,4.0
1729,7500000.0,Other,1398.0,2.0
1731,6200000.0,Other,1250.0,3.0
1732,4700000.0,Other,950.0,2.0
1734,12100000.0,Other,1800.0,3.0
1735,11500000.0,Other,2000.0,3.0
1736,9500000.0,Other,1687.0,3.0
1737,5900000.0,Other,1317.0,2.0
1738,8500000.0,Other,1600.0,3.0
1739,6500000.0,Other,1200.0,3.0
1740,3500000.0,Other,800.0,2.0
1741,7500000.0,Other,1225.0,3.0
1742,9710000.0,Other,1765.0,3.0
1743,11500000.0,Other,1400.0,3.0
1746,12000000.0,Other,2200.0,4.0
1749,14000000.0,Other,2535.0,4.0
1752,5700000.0,Other,1316.0,2.0
1754,4400000.0,Other,1135.0,2.0
1755,5100000.0,Other,900.0,2.0
1756,11500000.0,Other,1750.0,4.0
1757,10100000.0,Other,1650.0,3.0
1758,3500000.0,Other,990.0,2.0
1759,7000000.0,Other,1315.0,3.0
1760,8700000.0,Other,1100.0,2.0
1761,5700000.0,Other,1150.0,2.0
